song,artist,first_no1_date,year,decade,weeks_at_number_one,length_sec,length_mmss,intro_length_sec,under_3_min
The Streak,Ray Stevens,1974-05-18,1974,1970,3,198,3:18,26,0
Band on the Run,Paul McCartney & Wings,1974-06-08,1974,1970,1,309,5:09,37,0
Billy Don't Be a Hero,Bo Donaldson & the Heywoods,1974-06-15,1974,1970,2,207,3:27,17,0
Sundown,Gordon Lightfoot,1974-06-29,1974,1970,1,213,3:33,18,0
Rock the Boat,Hues Corporation,1974-07-06,1974,1970,1,203,3:23,8,0
Rock Your Baby,George McCrae,1974-07-13,1974,1970,2,199,3:19,40,0
Annie's Song,John Denver,1974-07-27,1974,1970,2,181,3:01,9,0
Feel Like Makin' Love,Roberta Flack,1974-08-10,1974,1970,1,175,2:55,1,1
The Night Chicago Died,Paper Lace,1974-08-17,1974,1970,1,203,3:23,28,0
(You're) Having My Baby,Paul Anka & Odia Coates,1974-08-24,1974,1970,3,156,2:36,12,1
I Shot the Sheriff,Eric Clapton,1974-09-14,1974,1970,1,210,3:30,0,0
"Can't Get Enough of Your Love, Babe",Barry White,1974-09-21,1974,1970,1,229,3:49,37,0
Rock Me Gently,Andy Kim,1974-09-28,1974,1970,1,208,3:28,17,0
I Honestly Love You,Olivia Newton-John,1974-10-05,1974,1970,2,221,3:41,22,0
Nothing from Nothing,Billy Preston,1974-10-19,1974,1970,1,158,2:38,15,1
Then Came You,Dionne Warwick & The Spinners,1974-10-26,1974,1970,1,239,3:59,18,0
You Haven't Done Nothin',Stevie Wonder,1974-11-02,1974,1970,1,203,3:23,28,0
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,1974-11-09,1974,1970,1,218,3:38,17,0
Whatever Gets You Thru the Night,John Lennon,1974-11-16,1974,1970,1,206,3:26,14,0
I Can Help,Billy Swam,1974-11-23,1974,1970,2,178,2:58,19,1
Kung Fu Fighting,Carl Douglas,1974-12-07,1974,1970,2,195,3:15,26,0
Cat's in the Cradle,Harry Chapin,1974-12-21,1974,1970,1,212,3:32,13,0
Angie Baby,Helen Reddy,1974-12-28,1974,1970,1,211,3:31,7,0
Lucy in the Sky with Diamonds,Elton John,1975-01-04,1975,1970,2,354,5:54,26,0
Mandy,Barry Manilow,1975-01-18,1975,1970,1,195,3:15,18,0
Please Mr. Postman,The Carpenters,1975-01-25,1975,1970,1,172,2:52,10,1
Laughter in the Rain,Neil Sedaka,1975-02-01,1975,1970,1,170,2:50,11,1
Fire,Ohio Players,1975-02-08,1975,1970,1,192,3:12,24,0
You're No Good,Linda Ronstadt,1975-02-15,1975,1970,1,224,3:44,10,0
Pick Up the Pieces,Average White Band,1975-02-22,1975,1970,1,185,3:05,10,0
Best of My Love,Eagles,1975-03-01,1975,1970,1,330,5:30,22,0
Have You Never Been Mellow,Olivia Newton-John,1975-03-08,1975,1970,1,210,3:30,18,0
Black Water,The Doobie Brothers,1975-03-15,1975,1970,1,255,4:15,18,0
My Eyes Adored You,Frankie Valli,1975-03-22,1975,1970,1,212,3:32,14,0
Lady Marmalade,LaBelle,1975-03-29,1975,1970,1,236,3:56,8,0
Lovin' You,Minnie Riperton,1975-03-29,1975,1970,1,204,3:24,17,0
Philadelphia Freedom,Elton John,1975-04-12,1975,1970,2,325,5:25,15,0
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,1975-04-26,1975,1970,1,206,3:26,21,0
He Don't Love You (Like I Love You),Tony Orlando & Dawn,1975-05-03,1975,1970,3,219,3:39,14,0
Shining Star,"Earth, Wind & Fire",1975-05-24,1975,1970,1,170,2:50,19,1
Before the Next Teardrop Falls,Freddy Fender,1975-05-31,1975,1970,1,153,2:33,10,1
Thank God I'm a Country Boy,John Denver,1975-06-07,1975,1970,1,167,2:47,4,1
Sister Golden Hair,America,1975-06-14,1975,1970,1,200,3:20,18,0
Love Will Keep Us Together,Captain & Tennille,1975-06-21,1975,1970,4,205,3:25,8,0
Listen to What the Man Said,Paul McCartney & Wings,1975-07-19,1975,1970,1,235,3:55,19,0
The Hustle,Van McCoy & the Soul City Symphony,1975-07-26,1975,1970,1,254,4:14,39,0
One of these Nights,Eagles,1975-08-02,1975,1970,1,214,3:34,17,0
Jive Talkin',Bee Gees,1975-08-09,1975,1970,2,213,3:33,24,0
Fallin' in Love,"Hamilton, Joe Frank & Reynolds",1975-08-23,1975,1970,1,194,3:14,12,0
Get Down Tonight,KC & the Sunshine Band,1975-08-30,1975,1970,1,192,3:12,17,0
Rhinestone Cowboy,Glen Campbell,1975-09-06,1975,1970,2,194,3:14,8,0
Fame,David Bowie,1975-09-20,1975,1970,2,214,3:34,44,0
I'm Sorry,John Denver,1975-09-27,1975,1970,1,212,3:32,7,0
Bad Blood,Neil Sedaka,1975-10-11,1975,1970,3,189,3:09,13,0
Island Girl,Elton John,1975-11-01,1975,1970,3,225,3:45,7,0
That's the Way (I Like It),KC & the Sunshine Band,1975-11-22,1975,1970,2,185,3:05,17,0
"Fly, Robin, Fly",Silver Connection,1975-11-09,1975,1970,3,335,5:35,19,0
Let's Do It Again,The Staple Singers,1975-12-27,1975,1970,1,294,4:54,27,0
Saturday Night,Bay City Rollers,1976-01-02,1976,1970,1,174,2:54,15,1
Convoy,C.W. McCall,1976-01-10,1976,1970,1,231,3:51,30,0
I Write the Songs,Barry Manilow,1976-01-17,1976,1970,1,235,3:55,18,0
Theme from Mahogany (Do You Know Where You're Going To),Diana Ross,1976-01-24,1976,1970,1,204,3:24,15,0
Love Rollercoaster,Ohio Players,1976-01-31,1976,1970,1,172,2:52,26,1
50 Ways to Leave Your Lover,Paul Simon,1976-02-07,1976,1970,3,217,3:37,33,0
Theme from S.W.A.T.,Rhythm Heritage,1976-02-28,1976,1970,1,201,3:21,20,0
Love Machine (Part 1),The Miracles,1976-03-06,1976,1970,1,181,3:01,9,0
"December, 1963 (Oh What a Night!)",Frankie Valli & the Four Seasons,1976-03-13,1976,1970,3,197,3:17,15,0
Disco Lady,Johnnie Taylor,1976-04-03,1976,1970,4,267,4:27,29,0
Let Your Love Flow,The Bellamy Brothers,1976-05-01,1976,1970,1,199,3:19,9,0
Welcome Back,John Sebastian,1976-05-08,1976,1970,1,171,2:51,9,1
Boogie Fever,The Sylvers,1976-05-15,1976,1970,1,201,3:21,22,0
Silly Love Songs,Paul McCartney & Wings,1976-05-22,1976,1970,5,352,5:52,22,0
Love Hangover,Diana Ross,1976-05-29,1976,1970,2,229,3:49,22,0
Afternoon Delight,Starland Vocal Band,1976-07-10,1976,1970,2,191,3:11,13,0
Kiss and Say Goodbye,The Manhattans,1976-07-24,1976,1970,2,209,3:29,64,0
Don't Go Breaking My Heart,Elton John & Kiki Dee,1976-08-07,1976,1970,4,271,4:31,14,0
You Should Be Dancing,Bee Gees,1976-09-04,1976,1970,1,256,4:16,15,0
"(Shake, Shake, Shake) Shake Your Booty",KC & the Sunshine Band,1976-09-11,1976,1970,1,187,3:07,17,0
Play That Funky Music,Wild Cherry,1976-09-18,1976,1970,3,191,3:11,17,0
A Fifth of Beethoven,Walter Murphy & the Big Apple Band,1976-10-09,1976,1970,1,182,3:02,12,0
Disco Duck,Rick Dees & His Cast of Idiots,1976-10-16,1976,1970,1,199,3:19,18,0
If You Leave Me Now,Chicago,1976-10-23,1976,1970,2,235,3:55,8,0
Rock 'n Me,Steve Miller Band,1976-11-06,1976,1970,1,187,3:07,27,0
Tonight's the Night (Gonna Be Alright),Rod Stewart,1976-11-13,1976,1970,8,213,3:33,17,0
You Don't Have to Be a Star (To Be in My Show),"Marilyn McCoo & Billy Davis, Jr.",1977-01-08,1977,1970,1,209,3:29,39,0
You Make Me Feel Like Dancing,Leo Sayer,1977-01-15,1977,1970,1,173,2:53,16,1
I Wish,Stevie Wonder,1977-01-22,1977,1970,1,271,4:31,19,0
Car Wash,Rose Royce,1977-01-29,1977,1970,1,200,3:20,64,0
Torn Between Two Lovers,Mary MacGregor,1977-02-05,1977,1970,2,229,3:49,9,0
Blinded by the Light,Manfred Mann's Earth Band,1977-02-19,1977,1970,1,229,3:49,12,0
New Kid in Town,Eagles,1977-02-26,1977,1970,1,305,5:05,20,0
Evergreen (Love Theme From A Star is Born),Barbra Streisand,1977-03-05,1977,1970,3,185,3:05,18,0
Rich Girl,Daryl Hall & John Oates,1977-03-26,1977,1970,2,142,2:22,0,1
Dancing Queen,ABBA,1977-04-09,1977,1970,1,230,3:50,20,0
Don't Give Up on Us,David Soul,1977-04-16,1977,1970,1,219,3:39,14,0
Don't Leave Me This Way,Thelma Houston,1977-04-23,1977,1970,1,218,3:38,38,0
Southern Nights,Glen Campbell,1977-04-30,1977,1970,1,180,3:00,11,0
Hotel California,Eagles,1977-05-07,1977,1970,1,391,6:31,52,0
When I Need You,Leo Sayer,1977-05-14,1977,1970,1,253,4:13,25,0
Sir Duke,Stevie Wonder,1977-05-21,1977,1970,3,232,3:52,19,0
I'm Your Boogie Man,KC & the Sunshine Band,1977-06-11,1977,1970,1,244,4:04,17,0
Dreams,Fleetwood Mac,1977-06-18,1977,1970,1,245,4:05,17,0
Got to Give it Up,Marvin Gaye,1977-06-25,1977,1970,1,255,4:15,20,0
Gonna Fly Now (Theme from Rocky),Bill Conti,1977-07-02,1977,1970,1,170,2:50,10,1
Undercover Angel,Alan O'Day,1977-07-09,1977,1970,1,200,3:20,15,0
Da Doo Ron Ron,Shaun Cassidy,1977-07-16,1977,1970,1,170,2:50,13,1
Looks Like We Made It,Barry Manilow,1977-07-23,1977,1970,1,213,3:33,15,0
I Just Want to Be Your Everything,Andy Gibb,1977-07-30,1977,1970,4,212,3:32,14,0
Best of My Love,The Emotions,1977-08-20,1977,1970,5,219,3:39,13,0
Star Wars Theme/Cantina Band,Meco,1977-10-01,1977,1970,1,212,3:32,16,0
You Light Up My Life,Debby Boone,1977-10-15,1977,1970,10,216,3:36,5,0
How Deep is Your Love,Bee Gees,1977-12-24,1977,1970,3,245,4:05,18,0
Baby Come Back,Player,1978-01-14,1978,1970,3,214,3:34,25,0
Stayin' Alive,Bee Gees,1978-02-04,1978,1970,4,283,4:43,13,0
(Love Is) Thicker Than Water,Andy Gibb,1978-03-04,1978,1970,2,198,3:18,1,0
Night Fever,Bee Gees,1978-03-18,1978,1970,8,212,3:32,19,0
If I Can't Have You,Yvonne Elliman,1978-05-13,1978,1970,1,180,3:00,16,0
With a Little Luck,Paul McCartney & Wings,1978-05-20,1978,1970,2,194,3:14,14,0
"Too Much, Too Little, Too Late",Johnny Mathis & Deniece Williams,1978-06-03,1978,1970,1,180,3:00,13,0
You're the One That I Want,John Travolta & Olivia Newton-John,1978-06-10,1978,1970,1,169,2:49,8,1
Shadow Dancing,Andy Gibb,1978-06-17,1978,1970,7,276,4:36,23,0
Miss You,The Rolling Stones,1978-08-05,1978,1970,1,225,3:45,27,0
Three Times a Lady,Commodores,1978-08-12,1978,1970,2,217,3:37,6,0
Grease,Frankie Valli,1978-08-26,1978,1970,2,206,3:26,15,0
Boogie Oogie Oogie,A Taste of Honey,1978-09-09,1978,1970,3,338,5:38,65,0
Kiss You All Over,Exile,1978-09-30,1978,1970,4,296,4:56,37,0
Hot Child in the City,Nick Gilder,1978-10-28,1978,1970,1,215,3:35,9,0
You Needed Me,Anne Murray,1978-11-04,1978,1970,1,220,3:40,14,0
MacArthur Park,Donna Summer,1978-11-11,1978,1970,3,235,3:55,5,0
You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond,1978-12-02,1978,1970,2,195,3:15,10,0
Le Freak,Chic,1978-12-09,1978,1970,6,216,3:36,3,0
Too Much Heaven,Bee Gees,1979-01-06,1979,1970,3,296,4:56,18,0
Do Ya Think I'm Sexy?,Rod Stewart,1979-02-10,1979,1970,4,326,5:26,35,0
I Will Survive,Gloria Gaynor,1979-03-10,1979,1970,3,198,3:18,22,0
Tragedy,Bee Gees,1979-03-24,1979,1970,2,303,5:03,28,0
What a Fool Believes,The Doobie Brothers,1979-04-14,1979,1970,1,224,3:44,16,0
Knock On Wood,Amii Stewart,1979-04-21,1979,1970,1,227,3:47,35,0
Heart of Glass,Blondie,1979-04-28,1979,1970,1,229,3:49,16,0
Reunited,Peaches & Herb,1979-05-05,1979,1970,4,345,5:45,13,0
Hot Stuff,Donna Summer,1979-06-02,1979,1970,3,226,3:46,31,0
Love You Inside Out,Bee Gees,1979-06-09,1979,1970,1,228,3:48,21,0
Ring My Bell,Anita Ward,1979-06-30,1979,1970,2,212,3:32,14,0
Bad Girls,Donna Summer,1979-07-14,1979,1970,5,295,4:55,40,0
Good Times,Chic,1979-08-18,1979,1970,1,224,3:44,18,0
My Sharona,The Knack,1979-08-25,1979,1970,6,239,3:59,19,0
Sad Eyes,Robert John,1979-10-06,1979,1970,1,213,3:33,14,0
Don't Stop 'Til You Get Enough,Michael Jackson,1979-10-13,1979,1970,1,365,6:05,33,0
Rise,Herb Alpert,1979-10-20,1979,1970,2,230,3:50,34,0
Pop Muzik,M,1979-11-03,1979,1970,1,201,3:21,26,0
Heartache Tonight,Eagles,1979-11-10,1979,1970,1,265,4:25,11,0
Still,Commodores,1979-11-17,1979,1970,1,224,3:44,15,0
No More Tears (Enough is Enough),Barbra Streisand & Donna Summer,1979-11-24,1979,1970,2,288,4:48,21,0
Babe,Styx,1979-12-08,1979,1970,2,242,4:02,15,0
Escape (The Piña Colada Song),Rupert Holmes,1979-12-22,1979,1970,3,231,3:51,14,0
Please Don't Go,KC & the Sunshine Band,1980-01-05,1980,1980,1,230,3:50,21,0
Rock With You,Michael Jackson,1980-01-19,1980,1980,4,203,3:23,19,0
Do That to Me One More Time,Captain & Tennille,1980-02-16,1980,1980,1,251,4:11,21,0
Crazy Little Thing Called Love,Queen,1980-02-23,1980,1980,4,263,4:23,6,0
"Another Brick in the Wall, Pt. 2",Pink Floyd,1980-03-22,1980,1980,4,198,3:18,9,0
Call Me,Blondie,1980-04-19,1980,1980,6,212,3:32,16,0
Funkytown,Lipps Inc.,1980-05-31,1980,1980,4,239,3:59,12,0
Coming Up,Paul McCartney,1980-06-28,1980,1980,3,248,4:08,15,0
It's Still Rock and Roll to Me,Billy Joel,1980-07-19,1980,1980,2,176,2:56,7,1
Magic,Olivia Newton-John,1980-08-02,1980,1980,4,269,4:29,10,0
Sailing,Christopher Cross,1980-08-30,1980,1980,1,256,4:16,36,0
Upside Down,Diana Ross,1980-09-06,1980,1980,4,245,4:05,10,0
Another One Bites the Dust,Queen,1980-10-04,1980,1980,3,215,3:35,22,0
Woman in Love,Barbra Streisand,1980-10-25,1980,1980,3,231,3:51,23,0
Lady,Kenny Rogers,1980-11-15,1980,1980,6,231,3:51,7,0
(Just Like) Starting Over,John Lennon,1980-12-27,1980,1980,5,234,3:54,42,0
The Tide is High,Blondie,1981-01-31,1981,1980,1,233,3:53,30,0
Celebration,Kool & the Gang,1981-02-07,1981,1980,2,221,3:41,33,0
9 to 5,Dolly Parton,1981-02-21,1981,1980,2,162,2:42,10,1
I Love a Rainy Night,Eddie Rabbit,1981-02-28,1981,1980,2,191,3:11,8,0
Keep on Loving You,REO Speedwagon,1981-03-21,1981,1980,1,200,3:20,20,0
Rapture,Blondie,1981-03-28,1981,1980,2,391,6:31,32,0
Kiss On My List,Daryl Hall & John Oates,1981-04-11,1981,1980,3,232,3:52,19,0
Morning Train (Nine to Five),Sheena Easton,1981-05-02,1981,1980,2,300,5:00,18,0
Bette Davis Eyes,Kim Carnes,1981-05-16,1981,1980,9,328,5:28,15,0
Stars on 45,Stars on 45,1981-06-20,1981,1980,1,288,4:48,16,0
The One That You Love,Air Supply,1981-07-25,1981,1980,1,259,4:19,8,0
Jessie's Girl,Rick Springfield,1981-08-01,1981,1980,2,194,3:14,7,0
Endless Love,Diana Ross & Lionel Richie,1981-08-15,1981,1980,9,266,4:26,6,0
Arthur's Theme (The Best That You Can Do),Christopher Cross,1981-10-17,1981,1980,3,236,3:56,15,0
Private Eyes,Daryl Hall & John Oates,1981-11-07,1981,1980,2,217,3:37,17,0
Physical,Olivia Newton-John,1981-11-21,1981,1980,10,225,3:45,15,0
I Can't Go For That (No Can Do),Daryl Hall & John Oates,1982-01-30,1982,1980,1,225,3:45,26,0
Centerfold,The J. Geils Band,1982-02-06,1982,1980,6,216,3:36,17,0
I Love Rock 'n' Roll,Joan Jett & the Blackhearts,1982-03-20,1982,1980,7,175,2:55,15,1
Chariots of Fire,Vangelis,1982-05-08,1982,1980,1,202,3:22,23,0
Ebony & Ivory,Paul McCartney & Stevie Wonder,1982-05-15,1982,1980,7,220,3:40,6,0
Don't You Want Me,The Human League,1982-07-03,1982,1980,3,236,3:56,20,0
Eye of the Tiger,Survivor,1982-07-24,1982,1980,6,227,3:47,49,0
Abracadabra,Steve Miller Band,1982-09-04,1982,1980,2,219,3:39,17,0
Hard to Say I'm Sorry,Chicago,1982-09-11,1982,1980,2,221,3:41,21,0
Jack and Diane,John Cougar,1982-10-02,1982,1980,4,254,4:14,28,0
Who Can It Be Now?,Men at Work,1982-10-30,1982,1980,1,201,3:21,17,0
Up Where We Belong,Joe Cocker & Jennifer Warnes,1982-11-06,1982,1980,3,233,3:53,15,0
Truly,Lionel Richie,1982-11-27,1982,1980,2,200,3:20,11,0
Mickey,Toni Basil,1982-12-11,1982,1980,1,216,3:36,6,0
Maneater,Daryl Hall & John Oates,1982-12-18,1982,1980,4,273,4:33,45,0
Down Under,Men at Work,1983-01-15,1983,1980,4,220,3:40,11,0
Africa,Toto,1983-02-05,1983,1980,1,261,4:21,31,0
"Baby, Come to Me",Patti Austin & James Ingram,1983-02-19,1983,1980,2,215,3:35,10,0
Billie Jean,Michael Jackson,1983-03-05,1983,1980,7,294,4:54,29,0
Come on Eileen,Dexys Midnight Runners,1983-04-23,1983,1980,1,243,4:03,38,0
Beat It,Michael Jackson,1983-04-30,1983,1980,3,258,4:18,38,0
Let's Dance,David Bowie,1983-05-21,1983,1980,1,248,4:08,26,0
Flashdance … What a Feeling,Irene Cara,1983-05-28,1983,1980,6,233,3:53,54,0
Every Breath You Take,The Police,1983-07-09,1983,1980,8,234,3:54,15,0
Sweet Dreams (Are Made of This),Eurythmics,1983-09-03,1983,1980,1,216,3:36,10,0
Maniac,Michael Sembello,1983-09-10,1983,1980,2,244,4:04,24,0
Tell Her About It,Billy Joel,1983-09-24,1983,1980,1,229,3:49,10,0
Total Eclipse of the Heart,Bonnie Tyler,1983-10-01,1983,1980,4,267,4:27,7,0
Islands in the Stream,Kenny Rogers & Dolly Parton,1983-10-29,1983,1980,2,251,4:11,9,0
All Night Long (All Night),Lionel Richie,1983-11-12,1983,1980,4,260,4:20,19,0
Say Say Say,Paul McCartney & Michael Jackson,1983-12-10,1983,1980,6,234,3:54,16,0
Owner of a Lonely Heart,Yes,1984-01-21,1984,1980,2,230,3:50,25,0
Karma Chameleon,Culture Club,1984-02-04,1984,1980,3,238,3:58,13,0
Jump,Van Halen,1984-02-25,1984,1980,5,240,4:00,28,0
Footloose,Kenny Loggins,1984-03-31,1984,1980,3,226,3:46,31,0
Against All Odds (Take a Look at Me Now),Phil Collins,1984-04-21,1984,1980,3,206,3:26,8,0
Hello,Lionel Richie,1984-05-12,1984,1980,2,254,4:14,16,0
Let's Hear it For the Boy,Deniece Williams,1984-05-26,1984,1980,2,262,4:22,23,0
Time After Time,Cyndi Lauper,1984-06-09,1984,1980,2,241,4:01,14,0
The Reflex,Duran Duran,1984-06-23,1984,1980,2,266,4:26,16,0
When Doves Cry,Prince,1984-07-07,1984,1980,5,228,3:48,33,0
Ghostbusters,"Ray Parker, Jr.",1984-08-11,1984,1980,3,241,4:01,31,0
What's Love Got to Do With It,Tina Turner,1984-09-01,1984,1980,3,226,3:46,19,0
Missing You,John Waite,1984-09-22,1984,1980,1,270,4:30,19,0
Let's Go Crazy,Prince,1984-09-29,1984,1980,2,227,3:47,29,0
I Just Called to Say I Love You,Stevie Wonder,1984-10-13,1984,1980,3,260,4:20,7,0
Caribbean Queen (No More Love on the Run),Billy Ocean,1984-11-03,1984,1980,2,221,3:41,13,0
Wake Me Up Before You Go-Go,Wham!,1984-11-17,1984,1980,3,231,3:51,12,0
